Value
AC.PA
ACA.PA
AI.PA
AIR.PA
ALO.PA
BN.PA
BNP.PA
CA.PA
CAP.PA
CS.PA
DG.PA
EL.PA
EN.PA
TTE.PA
FR.PA
GLE.PA
ENGI.PA
KER.PA
LR.PA
MC.PA
ML.PA
OR.PA
ORA.PA
PUB.PA
RI.PA
RNO.PA
SAF.PA
SAN.PA
SGO.PA
SOLB.PA
SU.PA
VIE.PA
VIV.PA
RMS.PA
SOI.PA
PLX.PA
ANTIN.PA
NEX.PA
GTT.PA
TE.PA
ERA.PA
VIRI.PA
VRLA.PA
AYV.PA
IPS.PA
EAPI.PA
COFA.PA
VU.PA
MERY.PA
ARG.PA
ITP.PA
DBG.PA
MRN.PA
BEN.PA
VIRP.PA
LSS.PA
XFAB.PA
MAU.PA
ES.PA
CARM.PA
TKO.PA
PEUG.PA
ODET.PA
URW.PA
ATO.PA
DSY.PA
SW.PA
STMPA.PA
AF.PA
AMUN.PA
BB.PA
BIM.PA
BOL.PA
BVI.PA
CO.PA
AM.PA
FGR.PA
ELIOR.PA
ERF.PA
ENX.PA
FNAC.PA
GNFT.PA
GET.PA
ADP.PA
IPN.PA
LI.PA
MMB.PA
MMT.PA
NXI.PA
OPM.PA
RCO.PA
SK.PA
SOP.PA
TKTT.PA
VANTI.PA
TFI.PA
HO.PA
TRI.PA
UBI.PA
VK.PA
CDI.PA
DBV.PA
PARRO.PA
CLA.PA
ATE.PA
AKE.PA
COV.PA
EDEN.PA
ELIS.PA
RF.PA
ETL.PA
FRVIA.PA
GFC.PA
ICAD.PA
NK.PA
DEC.PA
EMEIS.PA
RXL.PA
RUI.PA
DIM.PA
SCR.PA
SESG.PA
SPIE.PA
TEP.PA
MF.PA
WLN.PA
FDJ.PA
VLA.PA
